iter = 2,step = 140, loss = 1.463794, accuracy = 1.000000 
iter = 2,step = 150, loss = 1.533886, accuracy = 0.929688 
iter = 2,step = 160, loss = 1.517105, accuracy = 0.945312 
iter = 2,step = 170, loss = 1.506313, accuracy = 0.953125 
iter = 2,step = 180, loss = 1.507801, accuracy = 0.953125 
iter = 2,step = 190, loss = 1.512366, accuracy = 0.945312 
iter = 2,step = 200, loss = 1.546577, accuracy = 0.914062 
iter = 2,step = 210, loss = 1.509224, accuracy = 0.945312 
iter = 2,step = 220, loss = 1.512886, accuracy = 0.945312 
iter = 2,step = 230, loss = 1.506778, accuracy = 0.953125 
iter = 2,step = 240, loss = 1.476776, accuracy = 0.984375 
iter = 2,step = 250, loss = 1.521485, accuracy = 0.929688 
iter = 2,step = 260, loss = 1.502115, accuracy = 0.960938 
iter = 2,step = 270, loss = 1.537731, accuracy = 0.921875 
iter = 2,step = 280, loss = 1.487538, accuracy = 0.976562 
iter = 2,step = 290, loss = 1.479966, accuracy = 0.984375 
iter = 2,step = 300, loss = 1.492437, accuracy = 0.968750 
iter = 2,step = 310, loss = 1.500256, accuracy = 0.960938 
iter = 2,step = 320, loss = 1.492943, accuracy = 0.968750 
iter = 2,step = 330, loss = 1.532202, accuracy = 0.929688 
iter = 2,step = 340, loss = 1.506100, accuracy = 0.953125 
iter = 2,step = 350, loss = 1.509117, accuracy = 0.953125 
iter = 2,step = 360, loss = 1.498851, accuracy = 0.960938 
iter = 2,step = 370, loss = 1.476955, accuracy = 0.984375 
iter = 2,step = 380, loss = 1.512847, accuracy = 0.945312 
iter = 2,step = 390, loss = 1.496261, accuracy = 0.960938 
iter = 2,step = 400, loss = 1.507898, accuracy = 0.953125 
iter = 2,step = 410, loss = 1.499090, accuracy = 0.960938 
iter = 2,step = 420, loss = 1.499849, accuracy = 0.960938 
iter = 3,step = 0, loss = 1.500205, accuracy = 0.960938 
iter = 3,step = 10, loss = 1.484591, accuracy = 0.976562 
iter = 3,step = 20, loss = 1.481649, accuracy = 0.984375 
iter = 3,step = 30, loss = 1.528630, accuracy = 0.929688 
iter = 3,step = 40, loss = 1.534954, accuracy = 0.921875 
iter = 3,step = 50, loss = 1.478253, accuracy = 0.984375 
iter = 3,step = 60, loss = 1.487666, accuracy = 0.976562 
iter = 3,step = 70, loss = 1.501465, accuracy = 0.960938 
iter = 3,step = 80, loss = 1.515890, accuracy = 0.945312 
iter = 3,step = 90, loss = 1.491347, accuracy = 0.968750 
iter = 3,step = 100, loss = 1.518387, accuracy = 0.945312 
iter = 3,step = 110, loss = 1.515830, accuracy = 0.945312 
iter = 3,step = 120, loss = 1.468805, accuracy = 0.992188 
iter = 3,step = 130, loss = 1.476777, accuracy = 0.984375 
iter = 3,step = 140, loss = 1.473966, accuracy = 0.984375 
iter = 3,step = 150, loss = 1.500132, accuracy = 0.960938 
